94760	 MEASURE BLOOD OXYGEN LEVEL 
J1750	 Infed Injection Soln 50 mg/mL 2 mL  
J1756	 Venofer 20 mg/mL 5 mL SDV  
J1815	 Humulin R Insulin U100 10 mL  
J1885	 Ketorolac 30 mg/mL 1 mL  
J1885	 Ketorolac 1M  60 mg/2 mL
J1940	 Furosemide 100 mg/10 mL  
J1940	 Furosemide Inj. 20 mg/2 mL AR  
J1940	 Furosemide Inj. 20 mg/2 mL vial  
J1940	 Furosemide Inj. 40 mg/4 mL  
J1955	 Carnitor 200 mg/mL 5 mL Amp  
J1956	 Levaquin 250 mg In 50 mL D5W  
J1956	 Levaquin 500 mg In 100 mL D5W  
J1956	 Levaquin 750 mg In 150 mL D5W  
J1956	 Levaquin IV 500 mg/20 mL  
J1956	 Levaquin IV 750 mg/30 mL  
J2001	 Lidocaine HCI Injectlon 1% 20 mL  
J2020	 Zyvox IV Solution 600 mg/300 mL  
J2150	 Mannitol 12.5 Gm/50 mL (25%)  
J2185	 Meropenem 1 Gm  
J2185	 Meropenem 500 mg  
J2185	 Merrem 1 Gm  
J2185	 Merrem 500 mg  
J2248	 Mycamine for Inj. 50 I11g  
J2248	 Mycamine for Inj.100 mg  
J2260	Milrinone in Dext 0.2 mg/mL 200 mL
J2260	Milrinone Lactate 10 mg/10 mL
J2260	Milrinone Lactate 20 mg/20 mL
J2260	 Milrinone Lactate 50 mg/50 mL  
J2260	 Milrinone Lactate IV 1 mg/mL 10 mL  
J2260	 Primacor 5 mg/5 mL Carpuject  
J2260	 Primacor IV 1 mg/mL 10 mL  
J2270	 Morphine Sulfate 50 mg/mL 20 mL  
J2280	 Avelox 400 mg/250 mL  
J2354	 Octreotide Acetate 100 mcg/mL 1 mL  
J2354	 Octreotide Acetate 200 mcg/mL 5 mL  
J2354	 Octreotide Acetate 50 mcg/mL 1 mL  
J2354	 Octreotide Acetate 500 mcg/mL 1 mL  
J2355	 Neumega 5 mg Syr with SWI  
J2357	 Xolair 150 mg for Inj.  
J2360	 Norflex 30 mg/mL 2 mL amp  
J2405	 Ondansetron 2 mg/mL 20 mL MDV  
J2405	 Ondansetron 4 mg/2 mL SDV  
J2405	 Ondansetron HCI 4 mg/2 mL SDV  
J2405	 Zofran 2 mg/mL 2 mL vial  
J2430	 Pamidronate Disodium 30 mg/10 mL  
J2430	 Pamidronate Disodium 6 mg/mL 10mL  
J2469	 Aloxi IV 0.075 mg/1.5 mL SDV  
J2469	 Aloxi IV 0.25 mg/5 mL SDV  
J2501	 Zemplar IV 2 mcg/mL  
J2501	 Zemplar IV 5 mcg/mL  
J2503	Macugen Intraocular Solution 0.3 MG
J2505	 Neulasta 6 mg/0.6 mL  
J2540	 Penicillin G Pot. 20,000,000 units  
J2543	 Piperacillin Sod-Tazobactam 2.25 Gm  
J2543	 Piperacillin Sod-Tazobactam 3.375Gm  
J2543	 Piperacillin Sod-Tazobactam 4.5 Gm  
J2543	 Zosyn 2.25 Gm  
J2543	 Zosyn 2.25 Gm/50 mL in IsoOsmoticSo  
J2543	 Zosyn 3.375 Gm  
J2543	 Zosyn 3.375 Gm/50 mL in IsoOsmoticS  
J2543	 Zosyn 4.5 Gm  
J2543	 Zosyn 4.5 Gml1 00 mL in IsoOsmoticSo  
J2543	 Zosyn Intravenous 40.5 Gm MDV  
J2550	 Promethazine 50 mg/mL Amp  
J2597	 DDAVP Injection Solution 4 MCG/ML 4  
J2680	Fluphenazine Decanoate 25 mg/mL MDV
J2700	 Oxacillin 10 Gm  
J2700	 Oxacillin 1 Gm  
J2700	 Oxacillin 2 Gm/50 mL Iso-Osmotic So  
J2700	 Oxacillin Sod 2 Gm  
J2765	 Metoclopramide HCI Injection Soluti
J2770	 Synercid 500 mg Inj
J2770	 Synercid 500 mg Inj  
J2778	Lucentis Intraocular 0.5 mg/0.5 mL
J2780	 Ranitidine HCI 50 mg/2 mL  
J2780	 Zantac 25 mg/mL 6 mL MDV  
J2790	 RhoGAM Ultra-Filtered Plus Syringe  
J2795	 Naropin Inf. 0.2% 2 mg/mL  
J2820	Leukine Inj 500 mcg/mL MDV
J2916	 Ferrlecit Solution 62.5 mg/5 mL amp  
J2920	 Solu-Cortef 100 mg per 2 mL A-O-V  
J2920	 Solu-Cortef 100 mg Vial  
J2920	 Solu-Medrol A-O-V 40 mg  
J2930	 A-Methapred for Injection 125 mg  
J2930	 A-Methapred Injection 125mg Unlvial  
J2930	 MethylPREDNISolone Sod Succ 1 Gm •  
J2930	 Solu-Medrol1000 mg/B mL  
J2930	 Solu-Medrol 125 mg Act-O-Vial  
J2930	 Solu-Medrollnjection 500 mg  
J2997	 Cathflo Activase for Inj 2 mg  
J3130	 DelatestryllM in Oil 200 mg/mLSyr  
J3130	 Testosterone Enanthate 200mcg/mL 5m  
J3240	 Thyrogen 1M 1.1 mg  
J3243	 Tygacil 50 mg for IV  
J3243	 Tygacil 50 mg IV  
J3250	 Tigan 1M Soln 200 mg/2 mL SDV  
J3250	 Trimethobenzamide HCIIM 200mg/2mL  
J3260	 Tobramycin 1200 mg/30 mL MDV  
J3260	 Tobramycin 40 mg/mL 2mL  
J3260	 Tobramycin 40 mg/mL 2 mL MDV  
J3260	 Tobramycin BO mg/100 mL in Saline  
J3260	 Tobramycin Sulf. 40 mg/mL 50mL SD  
J3260	 Tobramycin Sulfate 1200 mg/30 mL MD  
J3260	 Tobramycin Sulfate 40 mg/mL 2 mL  
J3285	 Remodulin Inj 10 mg/mL 20 mL MDV  
J3301	 Kenalog Inj. Susp. 40 mg/mL
J3315	 Trelstar Depot 1M 3.75 mg  
J3370	 Vancomycin 5 Gm  
J3370	 Vancomycin 1 Gm  
J3370	 Vancomycin 1 Gm 1200 mL Dextrose 5%  
J3370	 Vancomycin 10 Gm  
J3370	 Vancomycin 500 mg  
J3370	 Vancomycin HCI1 Gm  
J3370	 Vancomycin HCI10 Gm  
J3370	 Vancomycin HCI 5 Gm  
J3411	 Thiamine HCI 100 mg/mL 2 mL  
J3415	 Pyridoxine HCllnjection Solution 1  
J3420	 Cyanocobalamin 1000 mcg/mL 1 mL  
J3420	 Cyanocobolamin 1000 mcg/mL 30 mL MD  
J3430	 Vitamin K1 Inj. 1 mg/0.5 mL (Pediat  
J3430	 Vitamin K1 Solution 10 mg/mL 1 mL  
J3465	 Vfend IV 200 mg  
J3475	 Magnesium Sulfate 1 Gm/2 mL (50%)  
J3475	 Magnesium Sulfate 50% 20 mL  
J3480	 Potassium Chloride 2 mEq/mL 20 mL  
J3480	 Potassium Chloride 2 mEq/mL 250 mL  
J7030	 Normal Saline IV 1000 mL (0.9%NaCI)  
J7040	 Normal Saline IV 500 mL (0.9%)  
J7040	 Normal Saline IV 500 mL (NaCI 0.9%)  
J7042	 Dextrose 5% in 0.9% Sod Chi 1000 mL  
J7050	 Normal Saline 100 mL Mini-Bag Plus  
J7060	 Dextrose 5% 100 mL  
J7070	 Dextrose 5% 1000 mL  
J7192	 Advate IV 1000 Unit Kit  
J7195	 BeneFIX IV Kit 1000 Units  
J7321	 Supartz 25 mg/ 2.5 mL PFS Syringe  
J7324	 OrthoVisc Intra-articular Solution  
J7325	 Synvisc 16 mg/2 mL Syringe  
J9000	 Adriamycin 10 mg for Inj.  
J9025	 Vidaza for Inj. (Susp.) 100 mg  
J9031	 Tice BCG Intravesical Susp 50 mg  
J9035	 Avastin 100 mg/4 mL  
J9035	 Avastin 25 mg/mL 10  
J9035	 Avastin 400 mg/16 mL  
J9040	 Bleomycin Sulf for Inj. 15 Units  
J9041	 Velcade 3.5 mg  
J9045	 CARBOplatin 10 mg/mL 5 mL  
J9060	 CISplatin 100 mg/100 mL MDV  
J9100	 Cytarabine 20 mg/mL 5 mL PF  
J9181	 Etoposide 20 mg/mL 5 mL MDV  
J9190	 Fluorouracil 500 mg/10 mL  
J9200	 Floxuridine Inj. 500 mg  
J9201	Gemzar 200 mg
J9202	 Zoladex Subq Implant 3.6 mg  
J9206	Irinotecan HCI IV 100 mg/5 mL SDV
J9214	Intron-A Inj. Soln. 10 mill.units/mL
J9217	Lupron Depot IM Kit 7.5 mg
J9260	 Methotrexate Sod. 250 mg/10 mL LPF  
J9263	 Oxaliplatin 100 mg/20 mL  
J9265	 Paclitaxel 30 mg/5 mL MDV  
J9280	 Mitomycin 5 mg Vial  
J9310	 Rituxan IV Conc. 10 mg/mL 10 mL SDV  
J9370	 VinCRIStine Sulfate 1 mg/mL 1 mL  
P9047	 Buminate IV 25% 50 mL  
Q0163	 Benadryl 50 mg/mL Amp  
S0077	 Clindamycin Phos150 mg/mL 60 mL  
G0299	Registered Nurse (RN) Visit
G0300	LPN Visit
G0151	RN Eval
G0152	Physcial Therapy (PT) Eval
G0153	Speech Therapy (ST) Eval
G0155	Licensed Social Worker (LCSW) Visit
G0156	Personal Care (HHA) Hourly
G0238	Respiratory Therapy (RT) Eval
